2022-04-24 14:08:45 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:45 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004l\r"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\26\26/home/louise/Code/exercises/18. emprunts de livres/main.c:59:2662:beg:0x555555555876"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\27[?2004h\27[?2004l\r\27[?2004h(gdb) \26\26\26"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:48 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:90: 	"_paused_jump /home/louise/Code/exercises/18. emprunts de livres/main.c:59"
2022-04-24 14:08:48 [INFO] ...e/.local/share/nvim/plugged/nvim-gdb/lua/nvimgdb/win.lua:166: 	"jump(/home/louise/Code/exercises/18. emprunts de livres/main.c:59)"
2022-04-24 14:08:48 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:48 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:155: 	"prev state: paused"
2022-04-24 14:08:48 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:105: 	"_query_b"
2022-04-24 14:08:48 [INFO] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:157: 	"new state: paused"
2022-04-24 14:08:49 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"n"
2022-04-24 14:08:49 [DEBUG] .../share/nvim/plugged/nvim-gdb/lua/nvimgdb/parser_impl.lua:116: 	"\r"
